UserFavouriteId,UserId,ArtistId,(No column name),usergroupid,isVisible,DisplayName,GroupName
4241,3837,177585,12/05/2014,5222,1,Micky Green,Favourites
12556,4932,177586,02/03/2015,5688,1,Vitaa,Favourites
4240,3837,177592,12/05/2014,5222,1,Eddy Mitchell,Favourites
698,615,177594,12/10/2012,5855,1,Nolwenn Leroy,Favourites
6251,4454,177594,01/09/2014,4865,1,Nolwenn Leroy,Favourites
6377,4524,177594,08/09/2014,5339,1,Nolwenn Leroy,Favourites
9739,621,177598,10/12/2014,6071,1,Mumford and Sons,my roster
9752,2526,177598,10/12/2014,6072,1,Mumford and Sons,My Roster
8660,4718,177598,18/11/2014,4947,1,Mumford and Sons,Favourites
12070,705,177598,09/02/2015,6024,1,Mumford and Sons,Rpck Prio
12061,4526,177598,08/02/2015,6419,1,Mumford and Sons,Mumford & Sons
9975,4718,177598,11/12/2014,6119,1,Mumford and Sons,Sam
9799,1600,177598,10/12/2014,5848,1,Mumford and Sons,Favourites
848,703,177598,16/01/2013,5462,1,Mumford and Sons,Favourites
1179,82,177598,16/04/2013,5595,1,Mumford and Sons,Favourites
1465,452,177598,28/05/2013,5800,1,Mumford and Sons,Favourites
1478,2010,177598,28/05/2013,4903,1,Mumford and Sons,Favourites
1665,1446,177598,28/06/2013,4948,1,Mumford and Sons,Favourites
1859,592,177598,06/08/2013,5928,1,Mumford and Sons,Favourites
4759,3268,177598,04/06/2014,5424,1,Mumford and Sons,Favourites
14113,1439,177598,14/04/2015,6668,1,Mumford and Sons,Global Artist Development Priorities
13959,386,177598,08/04/2015,6651,1,Mumford and Sons,Campaigns Mai
13616,185,177598,26/03/2015,6517,1,Mumford and Sons,Prio 2015
13443,2562,177598,24/03/2015,6586,1,Mumford and Sons,Managementprotokoll
13484,386,177598,24/03/2015,6599,1,Mumford and Sons,Current Prios
13011,5038,177598,17/03/2015,6546,1,Mumford and Sons,4 28 and 5 3 New Releases
13554,63,177599,24/03/2015,6605,1,Nirvana,Kings Of Catalogue 11-20
13603,1692,177599,26/03/2015,4998,1,Nirvana,Favourites
4624,3206,177599,02/06/2014,4910,1,Nirvana,Favourites
4354,3875,177599,15/05/2014,5607,1,Nirvana,Favourites
3864,2662,177599,15/04/2014,5915,1,Nirvana,Favourites
3921,3741,177599,16/04/2014,5767,1,Nirvana,Favourites
3977,3762,177599,23/04/2014,5281,1,Nirvana,Favourites
1849,189,177599,05/08/2013,4939,1,Nirvana,Favourites
1800,2326,177599,23/07/2013,5412,1,Nirvana,Favourites
1310,1556,177599,08/05/2013,5600,1,Nirvana,Favourites
497,63,177599,24/07/2012,5045,1,Nirvana,Favourites
2082,2325,177599,20/09/2013,4968,1,Nirvana,Favourites
2268,2585,177599,17/10/2013,4796,1,Nirvana,Favourites
3241,376,177599,11/03/2014,5131,1,Nirvana,Favourites
3339,3499,177599,19/03/2014,5308,1,Nirvana,Favourites
10061,63,177599,15/12/2014,6127,1,Nirvana,Top Cats
8238,4082,177599,20/10/2014,4918,1,Nirvana,Favourites2
7087,1058,177599,22/09/2014,5585,1,Nirvana,Favourites
7420,3530,177599,01/10/2014,4971,1,Nirvana,Favourites
7407,3530,177607,01/10/2014,4971,1,Justin Bieber,Favourites
7806,986,177607,13/10/2014,5372,1,Justin Bieber,Favourites
6359,4513,177607,04/09/2014,5478,1,Justin Bieber,Favourites
